name,cas,odor_descriptors
"((3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-6-yl)oxy) acetaldehyde",72927-85-6,fruity
"(+)-(2S)-2-ethyl-4,4-dimethyl-1-cyclohexanone",,cellar earthy herbal rooty
(+)-(E)-limonene oxide,6909-30-4,green
"(+)-(E,S)-filbertone",122440-59-9,fatty hazelnut metallic pyidine
(+)-2-ethyl fenchol,137255-07-3,earthy humus
(+)-3-carene,498-15-7,sweet
(+)-alpha-campholenic aldehyde,4501-58-0,amber green herbal leafy woody
(+)-alpha-santalyl acetate,41414-75-9,powdery sandalwood woody
(+)-alpha-terpineol,7785-53-7,floral lilac
(+)-camphene,5794-03-6,camphor fir fresh herbal woody
(+)-dihydrocarvone,5524-05-0,herbal mentholic minty
(+)-geosmin,5173-69-3,earthy musty
(+)-isomenthone,1196-31-2,minty
(+)-isopinocamphone,473-62-1,borneol camphoreous like needle pine spruce terpineol
(+)-isothujone,471-15-8,herbal warm
(+)-menthone,3391-87-5,mentholic minty
(+)-methyl dihydroepijasmonate,39647-11-5,jasmin jasmine
(+)-nerolidol,142-50-7,floral mild
(+)-nootkatone,4674-50-4,citrus gardenia grape grapefruit grapefruit peel peel woody
(+)-pinocarvone,34413-88-2,green herbal
(+)-terpinen-4-ol,2438-10-0,dusty musty
"(-)-(2R)-2-ethyl-4,4-dimethyl-1-cyclohexanone",,berry fruity herbal spicy thujonic
"(-)-(E,R)-filbertone",135910-94-0,butter chocolate hazelnut metallic soft
(-)-alpha-bisabolol,23089-26-1,coconut fruity nutty
(-)-alpha-cubebene,17699-14-8,herbal waxy
(-)-alpha-fenchol,512-13-0,earthy woody
(-)-alpha-muurolene,10208-80-7,woody
(-)-alpha-terpineol,10482-56-1,floral lilac terpenic
(-)-beta-elemene,515-13-9,sweet
(-)-bornyl isovalerate,76-50-6,camphor tropical valerian
(-)-camphene,5794-04-7,fir fresh terpene woody
(-)-cis-whiskey lactone,80041-00-5,coconut
(-)-cubenol,21284-22-0,green herbal spicy tea
(-)-gamma-elemene,29873-99-2,green oily woody
(-)-geosmin,5173-70-6,dirt earthy musty
(-)-guaiol,489-86-1,guaiacwood mild rose tea
(-)-isolongifolene,1135-66-6,amber dusty incense woody
(-)-isomenthone,18309-28-9,minty
(-)-isopulegol,89-79-2,cooling medicinal minty woody
(-)-lavandulol,498-16-8,herbal
(-)-menthone,14073-97-3,camphor deep herbal menthol peppermint
(-)-myrtenol,19894-97-4,balsam medical mint pine sweet woody
(-)-spathulenol,77171-55-2,honey
(10)-gingerol,23513-15-7,musk woody
(1R)-(-)-myrtenal,18486-69-6,camphor cinnamon jam spicy sweet terpene tonka
"(1R,4R)-1-hydroxy-1,4,7,7,9,9-hexamethyl spiro(4.5)decan-2-one",,patchouli woody
"(1R,4S)-1-hydroxy-1,4-dimethyl spiro(4.6)undecan-2-one",,camphor herbaceous woody
"(1R,4S,5S,9R)-1-hydroxy-1,4,7,7,9-pentamethyl spiro(4.5)decan-2-one",,amber and characteristic facets natural of oil patchouli powerful rich strong tobacco tobacco-like with woody woody-ambery
(1S)-myrtenal,23727-16-4,spicy
"(1S,2R,5R)-(+)-isomenthol",23283-97-8,camphor earthy hay herbal musty sweet
"(1S,5R)-myrtenyl acetate",1079-01-2,citrus fresh fruity herbal sweet
(2-methoxy-1-methyl butyl) benzene,,and citrus floral fragrance fresh fruity grape grapefruit green khusinil notes spicy
(2-methoxy-1-methyl propyl) benzene,,and floral fragrance fruity green notes wasabi
"(2R,2'R,5'S)-lilac aldehyde",53447-47-5,flowery sweet
"(2R,2'S,5'R)-lilac aldehyde",526214-73-3,flowery fresh
"(2R,2'S,5'S)-lilac aldehyde",53447-46-4,flowery fresh
(2S)-1-isopropoxy-1-oxopropan-2-yl pivalate,1584709-99-8,a acetate also as aspect aspects. bergamot citronellol citrus citrusy floral fruity geranium geranyl having hedo lemon linalool note overall rosy/geranium the type well
"(2S,2'R,5'S)-lilac aldehyde",53447-48-6,flowery sweet
"(2S,2'S,5'S)-lilac aldehyde",53447-45-3,flowery fresh
"(2S,5R)-buchu mercaptan",34349-25-2,buchu oil
(3-methoxy-2-methyl propyl) benzene,120811-92-9,floral fruity green petal rose
"(3R)-(+)-3-methyl-1,4-dioxacyclohexadecan-2-one",,amber ambergris ambrette animal musk nitromusk sweet woody
"(3R)-(+)-3-methyl-1,4-dioxacyclopentadecan-2-one",,amber ambergris ambrette animal flowery musk nitromusk sweet
(3R)-3-methylpentanal,,odorless
"(3R,6R)-(Z)-linalool oxide (pyranoid)",24048-52-0,earthy
"(3S)-(-)-3-methyl-1,4-dioxacyclohexadecan-2-one",,amber ambergris ambrette animal musk nitromusk sweet woody
"(3S)-(-)-3-methyl-1,4-dioxacyclopentadecan-2-one",,amber ambergris ambrette flowery musk nitromusk sweet
(3S)-3-mercaptohexanal,577969-22-3,citrus citrus peel fruity green peel
(3S)-3-methylpentanal,1730-94-5,fresh fruity green pungent
"(3S,3aS,7aR)-dill ether",74410-10-9,dill
"(3S,5R,8S)-3,8-dimethyl-5-prop-1-en-2-yl-3,4,5,6,7,8-hexahydro-2H-azulen-1-one",18374-76-0,agarwood peppery woody
"(3S,6S)-(Z)-linalool oxide (pyranoid)",22628-11-1,creamy floral sweet
"(3alpha,5alpha)-androst-16-en-3-ol",1153-51-1,animal musk natural
(4-(4-methyl piperazin-1-yl)phenyl) methanol,342405-34-9,almond nutty
"(4E,9Z)-13-methyloxacyclopentadeca-4,9-dien-2-one",,aromatic floral green jasmin musk powdery sweet
"(4R,6R)-carveol",2102-59-2,minty pear spearmint
"(4aR,5R,7aS,9R)-octahydro-2,2,5,8,8,9a-hexamethyl-4h-4a,9-methanoazuleno(5,6-d)-1,3-dioxole",211299-54-6,agarwood amber woody
(6)-gingerol,23513-14-6,pungent
"(6R,7R)-iso-beta-bisabolol",,flowery lily lily-of-the-valley
"(6S,7S)-iso-beta-bisabolol",,flowery lily lily-of-the-valley
"(E)-1,5-octadien-3-ol",50306-14-4,earthy
"(E)-1,5-octadien-3-one",359794-78-8,earthy musty
(E)-12-musk decenone,111879-80-2,animal cloth dry laundered metallic musk powdery sweet tropical waxy
(E)-13-musk decenone,4941-78-0,musk
"(E)-2,4-dimethyl-2-pentenoic acid",3876-52-6,cheese cream sour
"(E)-2,5,9-trimethyl-4,9-decadien-1-al",32803-39-7,aldehydic animal citrus floral fruity powdery sweet waxy
"(E)-2,6-dimethyl-1,5,7-octatrien-3-ol",28977-58-4,camphoreous lime terpenic
(E)-2-butenoic acid,107-93-7,milky
(E)-2-decen-1-ol,18409-18-2,air citrus fresh rose rue waxy
(E)-2-decen-1-yl acetate,19487-61-7,fatty waxy
(E)-2-decenal,3913-81-3,aldehydic chicken chicken fat cilantro earthy fat fatty fried green mushroom tallow waxy
